"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2",".1 u","","","","OSMC_partsC_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C3,C4","2","C","","","","OSMC_partsC_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"J1,J5,J6,J10","4","JST SH","","","","OSMC_partsXDCR_COM-09032","~"
"J2,J3,J4,J7,J8,J9","6","Conn_01x04","","","","OSMC_partsJST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","~"
"J11","1","JST SH","","","","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","~"
"JP1","1","WP","","Excluded from BOM","","OSMC_partsPinSocket_1x04_P2.54mm_Vertical","~"
"JP2","1","Det","","Excluded from BOM","","OSMC_partsSolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"R1,R2,R3,R4,R5,R6","6","100k","","","","OSMC_partsSolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20","14","10k","","","","OSMC_partsModule standard large","~"
"U1","1","COM-09032","","","","OSMC_partsModule standard pin large","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2339/COM-09032_Web.pdf"
"U2","1","OSMC Module Board w/pins","","","","OSMC_partsModule standard pin small",""
"U3","1","24LC32","DNP","Excluded from BOM","Excluded from board","OSMC_partsModule standard small","http://ww1.microchip.com/downloads/en/DeviceDoc/21072G.pdf"
"U4","1","OSMC Module Board","","","","OSMC_partsDFN-16-1EP_3x5mm_P0.5mm_EP1.66x4.4mm",""
"U5","1","OSMC Module Board w/pins","","","","OSMC_partsSOIC-8_3.9x4.9mm_P1.27mm",""
"U6","1","OSMC Module Board","","","","OSMC_partsTSSOP-10_3x3mm_P0.5mm",""
"U7","1","24AA02-OT","","","","OSMC_partsSOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21709J.pdf"
"U8","1","PCF8574DWR","","","","OSMC_partsDW16-L","http://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf"
"U9","1","ADS1115IDGS","","","","OSMC_partsR_0805_2012Metric_Pad1.15x1.40mm_HandSolder","http://www.ti.com/lit/ds/symlink/ads1113.pdf"
"U10","1","LTC4317","","","","OSMC_partsR_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.analog.com/media/en/technical-documentation/data-sheets/4317fa.pdf"
"U11","1","XIAO-ESP32-S3-DIP","","","","OSMC_partsXIAO-ESP32-S3-DIP",""
