Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,.1 u,
"C3, C4",0603,2,C,
"R1, R10, R17, R18, R19, R2, R20, R21, R22, R23, R24, R29, R30, R31, R32, R33, R34, R39, R40, R41, R42, R43, R44, R45, R46, R7, R8, R9",0603,28,10k,
"R11, R5",0603,2,976k,
"R12, R6",0603,2,182k,
R13,0603,1,102k,
R14,0603,1,R,
R15,0603,1,280k,
R16,0603,1,0,
"R25, R27, R35, R37",0603,4,1000k,
R26,0603,1,392k,
R28,0603,1,523k,
"R3, R4",0603,2,100k,
R36,0603,1,681k,
R38,0603,1,887k,
U1,SOT-23-5,1,24AA02-OT,
"U13, U14, U15, U16, U17, U18, U19, U20",Module standard pin large outline,8,OSMC Module Board,
"U2, U5, U6, U7",DFN-16-1EP_3x5mm_P0.5mm_EP1.66x4.4mm,4,LTC4317,
U3,XIAO-ESP32-S3-DIP,1,XIAO-ESP32-S3-DIP,
U4,DW16-L,1,PCF8574DWR,
