Designator,Mid X,Mid Y,Rotation,Layer
C1,140.45,-69.6175,90.0,bottom
C2,143.21,-69.6375,90.0,bottom
C3,143.18,-65.4775,270.0,bottom
C4,140.45,-65.4075,270.0,bottom
R1,167.86,-78.7,90.0,bottom
R10,185.6275,-81.735,90.0,bottom
R11,199.9875,-80.475,90.0,bottom
R12,182.715,-113.93,90.0,bottom
R13,199.9875,-76.465,90.0,bottom
R14,202.79,-81.39,90.0,bottom
R15,182.715,-109.92,90.0,bottom
R16,202.7775,-76.735,90.0,bottom
R17,197.1025,-77.285,270.0,bottom
R18,197.1025,-82.885,90.0,bottom
R19,179.83,-110.74,270.0,bottom
R2,168.12,-74.41,270.0,bottom
R20,179.83,-116.34,90.0,bottom
R21,169.285,-111.68,270.0,bottom
R22,171.285,-114.25,90.0,bottom
R23,171.985,-110.67,270.0,bottom
R24,168.355,-115.19,90.0,bottom
R25,106.83,-77.29,270.0,bottom
R26,106.82,-81.98,270.0,bottom
R27,109.61,-78.24,270.0,bottom
R28,109.61,-82.25,270.0,bottom
R29,112.495,-81.43,90.0,bottom
R3,147.625,-85.58,270.0,bottom
R30,112.495,-75.83,270.0,bottom
R31,123.04,-80.49,90.0,bottom
R32,121.04,-77.92,270.0,bottom
R33,120.34,-81.5,90.0,bottom
R34,123.97,-76.98,270.0,bottom
R35,125.1325,-110.5,270.0,bottom
R36,125.1225,-115.19,270.0,bottom
R37,127.9125,-111.45,270.0,bottom
R38,127.9125,-115.46,270.0,bottom
R39,130.7975,-114.64,90.0,bottom
R4,161.47,-85.97,0.0,bottom
R40,130.7975,-109.04,270.0,bottom
R41,141.3425,-113.7,90.0,bottom
R42,139.3425,-111.115,270.0,bottom
R43,138.6425,-114.71,90.0,bottom
R44,142.2725,-110.19,270.0,bottom
R45,144.27,-74.41,270.0,bottom
R46,144.22,-78.69,90.0,bottom
R5,185.495,-114.88,90.0,bottom
R6,185.5,-110.195,90.0,bottom
R7,186.5575,-78.225,270.0,bottom
R8,188.5575,-80.795,90.0,bottom
R9,189.2575,-77.215,270.0,bottom
U1,151.3775,-87.41,180.0,bottom
U13,198.3125,-80.19,270.0,top
U14,155.4,-73.0,0.0,top
U15,198.31,-80.19,90.0,bottom
U16,182.85,-117.24,270.0,top
U17,112.395,-79.995,90.0,top
U18,127.955,-117.235,90.0,top
U19,155.39,-115.72,180.0,bottom
U2,176.445,-113.3,270.0,bottom
U20,112.3875,-80.0,270.0,bottom
U3,155.35,-72.75,90.0,bottom
U4,155.4051,-73.98,180.0,top
U5,115.885,-78.87,90.0,bottom
U6,193.7125,-79.845,270.0,bottom
U7,134.185,-112.08,90.0,bottom
